1707511038655: {'POSITION(0x001)': 0.5053558349609375, 'VELOCITY(0x002)': -0.003325279802083969, 'TORQUE(0x003)': 0.0, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039323: {'POSITION(0x001)': 1.91705322265625, 'VELOCITY(0x002)': 3.006145715713501, 'TORQUE(0x003)': 0.01774406060576439, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039346: {'POSITION(0x001)': 1.9871368408203125, 'VELOCITY(0x002)': 3.0330348014831543, 'TORQUE(0x003)': 0.0175122432410717, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039368: {'POSITION(0x001)': 2.0559539794921875, 'VELOCITY(0x002)': 2.9697763919830322, 'TORQUE(0x003)': 0.013596925884485245, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039391: {'POSITION(0x001)': 2.1226959228515625, 'VELOCITY(0x002)': 2.908595085144043, 'TORQUE(0x003)': 0.02430138736963272, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039414: {'POSITION(0x001)': 2.190765380859375, 'VELOCITY(0x002)': 3.03241229057312, 'TORQUE(0x003)': 0.020952193066477776, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039436: {'POSITION(0x001)': 2.2602386474609375, 'VELOCITY(0x002)': 3.0395138263702393, 'TORQUE(0x003)': 0.011166012845933437, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039459: {'POSITION(0x001)': 2.327117919921875, 'VELOCITY(0x002)': 2.9288787841796875, 'TORQUE(0x003)': 0.00827561691403389, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039481: {'POSITION(0x001)': 2.3946990966796875, 'VELOCITY(0x002)': 3.022289514541626, 'TORQUE(0x003)': 0.012999802827835083, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039504: {'POSITION(0x001)': 2.46319580078125, 'VELOCITY(0x002)': 3.0586535930633545, 'TORQUE(0x003)': 0.014838920906186104, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039526: {'POSITION(0x001)': 2.5304107666015625, 'VELOCITY(0x002)': 2.875178337097168, 'TORQUE(0x003)': 0.012796428985893726, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039550: {'POSITION(0x001)': 2.592559814453125, 'VELOCITY(0x002)': 2.6596224308013916, 'TORQUE(0x003)': 0.004802448209375143, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039573: {'POSITION(0x001)': 2.6524658203125, 'VELOCITY(0x002)': 2.467332601547241, 'TORQUE(0x003)': 0.015154587104916573, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
1707511039596: {'POSITION(0x001)': 2.7061920166015625, 'VELOCITY(0x002)': 2.2828681468963623, 'TORQUE(0x003)': 0.012435710057616234, 'VOLTAGE(0x00d)': 24.0, 'TEMPERATURE(0x00e)': 34.0, 'FAULT(0x00f)': 0.0}
